calendar_date,temp_max,temp_min,temp_avg,temp_departure,hdd,cdd,percpitation,new_snow,snow_depth
2023-01-01,45,37,41.0,14.2,24,0,0.16,0,0
2023-01-02,43,32,37.5,10.8,27,0,0,0,0
2023-01-03,48,39,43.5,17.0,21,0,1.12,T,0
2023-01-04,44,33,38.5,12.2,26,0,T,0,0
2023-01-05,34,32,33.0,6.8,32,0,0.02,0.2,0
2023-01-06,34,25,29.5,3.5,35,0,T,T,0
2023-01-07,32,27,29.5,3.7,35,0,0,0,0
2023-01-08,33,26,29.5,3.8,35,0,0,0,0
2023-01-09,44,25,34.5,8.9,30,0,0,0,0
2023-01-10,50,34,42.0,16.6,23,0,0,0,0
2023-01-11,57,38,47.5,22.2,17,0,0,0,0
2023-01-12,43,36,39.5,14.3,25,0,T,T,0
2023-01-13,36,26,31.0,5.9,34,0,0.02,0.2,0
2023-01-14,31,24,27.5,2.5,37,0,0,T,0
2023-01-15,44,26,35.0,10.1,30,0,0,0,0
2023-01-16,52,40,46.0,21.2,19,0,0.18,0,0
2023-01-17,49,37,43.0,18.3,22,0,0,0,0
2023-01-18,41,36,38.5,13.9,26,0,0.24,T,0
2023-01-19,42,34,38.0,13.4,27,0,0.14,T,0
2023-01-20,35,29,32.0,7.4,33,0,T,T,0
2023-01-21,32,28,30.0,5.5,35,0,0,0,0
2023-01-22,34,26,30.0,5.5,35,0,0.13,1.5,1
2023-01-23,30,21,25.5,1.0,39,0,T,T,0
2023-01-24,36,28,32.0,7.5,33,0,0,0,0
2023-01-25,34,31,32.5,7.9,32,0,0.3,3.6,2
2023-01-26,32,15,23.5,-1.1,41,0,0.04,0.8,2
2023-01-27,36,13,24.5,-0.2,40,0,0.06,0.8,2
2023-01-28,31,19,25.0,0.2,40,0,0.15,2.2,1
2023-01-29,31,18,24.5,-0.3,40,0,0.02,0.2,3
2023-01-30,18,5,11.5,-13.5,53,0,0.02,0.4,3
2023-01-31,12,-1,5.5,-19.6,59,0,0,0,3
2023-02-01,27,6,16.5,-8.7,48,0,0,0,3
2023-02-02,33,10,21.5,-3.9,43,0,0,0,2
2023-02-03,11,-1,5.0,-20.5,60,0,0,0,2
2023-02-04,42,11,26.5,0.8,38,0,0,0,2
